geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
tha,Thailand,6331.98,6915.87,7533.6,8121.89,8848.85,9526.15,9623.92,9418.11,10335.11,12631.98,14516.18,15753.51,16028.09,16527.78,17118.77,17349,18013.11,18764.1,19215.54,19555.05,20190.78,20061.93,19913.19,20054.93,20108.33,20428.02,20829.82,20587.91,20729.95,21675.11,22155.14,23180.66,24703.1,25277.78
tjk,Tajikistan,443.82,476.59,492.19,522.22,507.63,483.57,452.37,434.1,428.37,421.21,416.04,421.18,431.5,450.57,451.28,444.41,434.42,431.38,429.63,433.23,439.51,446.84,462.97,475.69,507.39,549.42,592.82,645.84,686.96,761.61,737.94,821.82,1035.19,1123.92
tkm,Turkmenistan,300.6,263.13,261.48,283.38,328.9,350.76,366.66,359.4,351.72,321.36,296.5,302.99,310.51,317.45,320.71,338.7,378.46,404.71,410.03,442.33,495.09,537.25,576.38,606.34,624.92,618.12,635.56,663.08,684.48,712.06,735.02,789.71,794.84,810.61
tls,Timor-Leste,26.97,28.69,30.73,32.7,34.37,36.2,37.9,39.17,40.78,41.18,43.62,44.93,45.1,47.46,46.28,50.12,52.38,56,57.48,64.12,69.38,80.07,88.09,93.1,98.08,104.47,111.31,118.81,125.48,133.21,145.29,156.71,167.86,181.75
ton,Tonga,13.4,13.95,14.39,14.91,15.39,15.85,16.26,16.65,17.18,17.63,17.99,18.32,18.55,18.84,19.36,19.68,19.91,19.98,20.19,21.47,21.18,21.71,22.24,22.81,23.29,23.95,24.87,25.78,26.75,27.82,29.92,34.6,33.77,35.64
tto,Trinidad and Tobago,244.93,245.28,250.92,265.62,284,297.95,308.79,307.1,306.97,302.1,313.02,317.46,345.72,347.72,376.33,380.76,392.7,419.08,422.18,443.04,469.76,492.92,506.75,522.17,536.89,552.52,562.04,580.28,600.25,623.72,649.59,715.03,714.7,753.79
tun,Tunisia,1007.36,1088.85,1157.11,1236.88,1320.22,1377.66,1461.93,1553.65,1672.5,1805.08,1916.61,2031.02,2135.87,2239.12,2321.35,2399.19,2486.6,2594.05,2704.4,2814.21,2925.25,3053.25,3188.8,3304.36,3463.18,3642.68,3817.53,4070.33,4321.24,4679.63,4856.45,4750.5,5629.78,6585.16
tur,Turkey,4802.38,5112.98,5450.19,5812.97,6135.66,6448.14,6684.85,7031.03,7400.72,7452.23,8034.43,8421.09,8985.76,9419.43,9927.67,10746.52,11612.58,12087.15,11965.8,11134.29,11027.67,11595.55,12163.01,13005.52,13869.21,14688.27,15594.59,16319.24,16777.44,17853.49,18903.95,21603.39,21751.51,22015.05
tuv,Tuvalu,1.41,1.46,1.53,1.59,1.67,1.73,1.78,1.85,1.95,2.03,2.09,2.13,2.18,2.2,2.23,2.26,2.31,2.35,2.38,2.43,2.46,2.49,2.52,2.56,2.58,2.6,2.67,2.68,2.73,2.81,2.86,3,2.86,2.9
tza,Tanzania,1603.94,1624.31,1673.95,1703.45,1754.94,1820.14,1903.34,2017.04,2099.4,2147.84,2222.48,2312.29,2400.72,2466.17,2537.24,2581.21,2668.41,2832.9,2975.32,3055.48,3234.98,3368.65,3570.64,3804.9,3860.87,3898.65,3868.35,3935.04,3967.46,3996.24,4106.05,4724.03,4343.2,5029.97
uga,Uganda,985.97,1092.63,1150.74,1228.96,1309.18,1380.48,1458,1533,1623.88,1715.04,1866.43,1928.88,1993.85,2043.18,2118.61,2224.77,2335.2,2415.87,2526.98,2640.23,2707.16,2845,3159.15,3573.01,3825.78,4132.77,4359.99,4691.62,5128.04,5599.9,6054.92,7282.32,8086.83,9190.31
ukr,Ukraine,14488.31,15306.18,16035.49,16953.49,17448.27,17644.3,17464.76,17112.96,17067.2,17573.89,18099.86,18525.48,19273.35,19995.94,19754.3,17781.67,17266.87,16933.77,17122.97,17498.19,17537.51,17358.77,17615.23,17729.65,16469.6,15558.62,15304.29,15521.27,15116.29,15361.01,15971.11,15089.84,14905.82,14917.26
ury,Uruguay,1425.29,1432.13,1432.02,1457.77,1493.92,1524.73,1549.64,1583.24,1653.11,1660.3,1698.48,1661.64,1686.41,1681.62,1722.62,1784.41,1803.63,1787.48,1766.91,1795.22,1811.94,1835.53,1798.03,1819.76,1812.08,1877.21,1928.42,1917.36,2014.84,2043.54,1913.84,2059.33,2343.67,2274.45
usa,USA,210050.25,213563.7,215159.19,221065.03,223496.55,228243.8,229992.97,230414.4,233119.8,238422.03,242822.2,245125.28,247651.84,249753.87,247123.2,249825.9,247462.51,246205.6,251073.4,251807.66,252732.28,253078.63,252762.94,252668.75,251797.11,253236.83,252365.44,253255.98,251412.29,250892.9,257061.39,256670.99,258991.53,259245.88
uzb,Uzbekistan,1795.67,1830.35,1934.89,2062.51,2096.25,2092.37,2131.72,2141.86,2224.27,2317.31,2382.73,2432.11,2442.85,2485.61,2262.17,2274.68,2428.18,2619.4,2813.47,2882.73,3030.82,3118.35,3266.85,3483.46,3656.9,3871.8,4119.59,4488.1,4615.18,4641.04,4417.29,4324.99,4639.79,4807.79
vct,St. Vincent and the Grenadines,20.25,21.36,22.51,23.41,24.33,24.46,24.77,24.34,23.94,24.8,26.18,27.81,28.18,28.11,29.39,29.1,29.24,30.05,32.22,34.01,36.01,39.23,42.01,42.22,41.27,41.15,41.43,42.28,44.16,47.13,46.97,45.3,47.44,50.56
ven,Venezuela,1743.45,1888.85,2048.05,2134.73,2306.95,2432.06,2516.7,2659.95,2743.21,3082.71,2991.64,3196.22,3410.56,3615.09,3826.17,3962.49,4119.38,4333.31,4610.38,4955.84,5297.53,5726.4,6067.93,6255.37,6604.03,7016.46,7350.75,7742.73,8496.83,9274.49,9519.46,9749.45,10070.06,10186.27
vnm,Vietnam,3215.52,3428.53,3672.68,3925.35,4193.53,4454.26,4738.21,5062.18,5427.49,5719.88,6026.88,6358.19,6732.31,7169.41,7661.94,8168.73,8680.64,9282.22,9960.97,10697.45,11515.33,12298.26,13082.36,13896.75,14732.72,15720.74,16791.69,17685.8,18606.16,19689.92,20689.64,21243.29,22827.95,24497.69
vut,Vanuatu,5.92,6.58,7.16,7.68,8.72,8.7,9.35,9.78,10.33,11.03,10.67,11.41,10.56,10.12,10.49,11.78,12.52,13.74,14.78,15.39,16.17,17.66,18.65,19.87,21.17,22.34,23.69,25.11,26.57,27.97,29.59,30.26,33.89,36.65
wsm,Samoa,8.14,8.54,8.92,9.31,9.74,10.25,10.84,11.44,12.13,12.67,13.15,13.62,14,14.31,14.54,14.65,14.69,14.62,14.54,14.65,14.6,14.67,14.72,14.85,14.97,15.19,15.58,16.05,16.51,17.61,17.77,19.62,20.59,22.34
yem,Yemen,186.55,193.31,200.97,206.97,215.04,220.55,228.63,238.48,249.29,268.7,286.59,305.35,323.72,349.32,383.43,415.22,449.11,481.48,535.29,575.99,605.21,658.6,696.75,767.8,835.32,901.47,946.08,1007.74,1030.8,1083.76,1133.01,1188.58,1371.33,1543.91
zaf,South Africa,2860.93,3000.76,3047.08,3470.06,3736.8,4011.02,4399.22,4259.99,4384.16,4293.6,4165.35,4105.7,4084.04,4102.89,4110.8,4401.66,4847.07,5384.75,5965.67,6729.43,7437.19,8129.01,8821.19,9525.53,10068.75,10416.14,10688.05,11029.05,11365,11027.2,10310.65,10541.93,12131.14,13690.69
zmb,Zambia,598.71,591.85,584.71,582.78,583.62,590.77,604.99,620.59,637.26,658,682.53,738.45,762.22,766.63,776.18,824.54,881.86,940.05,1055.88,1167.75,1251.4,1345.31,1418.77,1483.78,1567.17,1688.58,1827.34,1971.2,2109.68,2306.64,2521.44,2941.96,3350.09,3845.67
zwe,Zimbabwe,309.58,305.73,331.98,346.11,385.24,418.67,462.66,514.57,561.5,604.6,639.59,705.69,777.32,848.2,878.89,855.61,830.38,787.01,824.66,835.52,854.83,968.34,1027.71,1047.51,1054.95,1099.53,1138.15,1145.23,1190.87,1234.17,1262.37,1514.65,1302.33,1316.25
